reviewerID,reviewerName,date(YYYYMMDD),reviewCount,Avgrating,avg_wordcount,sum_helpful_votes,sum_unhelpful_votes,overall_helpfulness
A10063PJ5C9WQQ,D. Seelye,20121017,21,4.380952380952381,90.19047619047619,8,3,5
A100NGGXRQF0AQ,"M. Hyman ""Artist at large""",20030828,22,3.772727272727273,275.72727272727275,72,26,46
A100UD67AHFODS,"Expressed Reviews ""Expressed Reviews""",20031208,102,4.5588235294117645,251.64705882352942,2328,319,2009
A100WO06OQR8BQ,"Duffer. ""Bo""",20080404,121,3.6611570247933884,149.98347107438016,379,243,136
A1016Q5UDME15Z,Shon,20120606,21,4.714285714285714,49.19047619047619,11,4,7
A102F7EHNVW30Q,N. Hedgeman,20130831,24,4.5,88.5,22,5,17
A102RLOGIBBDMW,"Cool Chris ""Cool C""",20081124,26,4.423076923076923,350.0769230769231,242,42,200
A103QH6R6A4FT1,"Rick ""Las Vegas Dealer""",20090601,21,4.666666666666667,80.0952380952381,5,1,4
A10471FSILZ25C,J. S. White,20080604,29,4.172413793103448,117.20689655172414,100,5,95
A105OCSP35YJG9,R. Cormier,20070111,21,5.0,53.857142857142854,7,3,4
A105S56ODHGJEK,"Peace Daddy ""Eclectic ReflectionZ""",20071014,67,3.8805970149253732,149.70149253731344,132,44,88
A105TOJ6LTVMBG,"Aless ""&#34;I came like Water, and like Wind ...",20090702,64,3.859375,55.15625,28,22,6
A106K1RIUF902A,"Derek Dean ""musician, home-recordist, photogr...",20100804,23,4.782608695652174,158.8695652173913,31,9,22
A106Q1A6LGU4DP,gnapye,20060610,21,4.333333333333333,220.38095238095238,83,10,73
A107CTGSINY3GJ,"Masao Miwa ""MDM""",20070331,34,4.705882352941177,94.82352941176471,75,14,61
A107K10JTO8NSH,jonnii,20120622,33,3.8484848484848486,45.75757575757576,10,6,4
A108EEYSHGDL6O,"3:23 Tech ""txplshrk""",20100205,23,4.565217391304348,39.69565217391305,6,0,6
A108GOZ37A7B75,Dillon Welch,20101118,26,4.8076923076923075,133.1153846153846,13,3,10
A108XABRHAA9E7,YSC,20030115,39,3.769230769230769,631.7692307692307,3261,151,3110
A108Z49RERJK4O,imvho,20041022,21,4.523809523809524,296.3809523809524,136,7,129
A10938QNO7IYIB,"Ulises Bocchio ""Ulises Bocchio""",20081226,24,4.458333333333333,43.875,5,0,5
A109XLG7SJQAIA,"Doc Goodbyte ""Doc""",20041206,29,4.137931034482759,95.75862068965517,66,49,17
A10A6YT9AD02PD,E. Ho,20091003,23,4.391304347826087,128.56521739130434,16,2,14
A10AFVU66A79Y1,"Renita ""Flo""",20070915,63,4.174603174603175,337.6984126984127,267,57,210
A10B6G6W3DW1EY,Luopo,20100617,37,3.864864864864865,47.729729729729726,63,193,-130
A10C5CJK1YKGV0,Steffan Piper,20080203,37,4.054054054054054,270.4054054054054,229,68,161
A10CRW7XRJBJ2G,jjme9,20110311,36,3.8055555555555554,55.416666666666664,15,14,1
A10D3ZJ7KSJV42,WM,20040107,23,4.086956521739131,212.82608695652175,57,6,51
A10DFH2Y5LWEU0,S. Gonchar,20111004,25,4.16,129.68,19,3,16
A10EC2MMQKHKBY,"Steven R. Roth ""AKA GeneralEclectic""",20090909,25,4.16,447.48,506,39,467
A10FUCF4N44ZT1,C farl,20110804,26,3.8076923076923075,132.8846153846154,36,13,23
A10G4BPT5MGBHY,Julie Neal,20080221,40,4.575,205.825,2207,163,2044
A10H24TDLK2VDP,William Jens Jensen,20070109,52,4.365384615384615,192.96153846153845,73,28,45
A10ISTV0QD8FAC,"Turner. ""Captain Stubing""",20110119,22,3.909090909090909,89.31818181818181,38,3,35
A10JPZAYDGFHEV,Damian Marynski,20110113,35,4.714285714285714,115.51428571428572,12,5,7
A10JVQAKUOK2A7,Omar,20110406,22,4.045454545454546,70.22727272727273,12,8,4
A10JXY2MAO7MNC,L. S. Brodsky,20060713,21,4.0476190476190474,62.857142857142854,39,6,33
A10K7QBLLN6VLE,MomNMore,20090510,22,4.0,129.5909090909091,16,1,15
A10KGRO01ZOXK5,D. K. Mckenzie,20121116,23,4.913043478260869,96.04347826086956,2,1,1
A10LWFKVC21F82,David G,20110319,29,3.8620689655172415,105.37931034482759,55,22,33
A10M0GF5ZFODYU,Frank,20110109,32,4.46875,124.15625,20,2,18
A10NMELR4KX0J6,Aj,20070104,82,4.195121951219512,141.26829268292684,131,29,102
A10NQKIG7NXUR7,Fusion,20120425,27,4.518518518518518,119.07407407407408,72,6,66
A10O7THJ2O20AG,jnaki,20110927,72,5.0,143.29166666666666,16,6,10
A10PEXB6XAQ5XF,Michael Gallagher,20100723,105,4.0285714285714285,219.55238095238096,5313,359,4954
A10R1SL31CJII8,Michael,20090222,25,3.96,78.6,22,9,13
A10SNKRHVEEE9P,"David Golombowski ""dgolombowski""",20071204,24,3.875,102.5,50,18,32
A10SX0QRXY0C2Y,J. Jennings,20100216,28,4.25,170.21428571428572,52,8,44
A10TJRENZ71JY0,"Mel46 ""RetiredGeek""",20130118,30,5.0,72.2,3,1,2
A10U8DJAPJJI8I,"William Van Hefner ""William Van Hefner""",20020704,24,3.9583333333333335,426.8333333333333,257,14,243
A10UHQH1YL5Q6B,MONTYHADES,20121125,38,4.894736842105263,63.60526315789474,5,4,1
A10VVWWZIFLPV9,Connor,20111227,25,4.72,50.44,14,4,10
A10VXW5LHANT2D,M. Bartlett,20100826,32,3.9375,51.625,19,15,4
A10VYNMVS32Z2F,"Maurice Naragon ""Maurice Naragon""",20070512,39,4.666666666666667,40.64102564102564,30,6,24
A10X33VL24RGDK,"Francois Morel ""FMo the Whizz""",20090819,21,4.523809523809524,62.095238095238095,8,4,4
A10X7TP9E3OB1A,MaxP,20120214,30,4.4,189.03333333333333,45,10,35
A10X9ME6R66JDX,Hugo M. M. Rabson,20090822,62,4.709677419354839,42.29032258064516,60,10,50
A10Y058K7B96C6,midnight821,20070419,113,4.477876106194691,222.57522123893804,372,47,325
A10Z51XLV63OA6,Brian Rose,20120522,21,4.571428571428571,82.66666666666667,8,3,5
A10ZBR6O8S8OCY,Dat Hong,20071010,77,4.64935064935065,220.11688311688312,186,38,148
A10ZFE6YE0UHW8,C. MacPhail,20030622,120,3.825,224.375,938,69,869
A110PC8C5Y7MQD,Grigori,20101102,52,3.923076923076923,49.21153846153846,38,13,25
A110VKXAVLAYKY,maverick75,20110913,34,4.294117647058823,96.23529411764706,41,7,34
A111WCUF5KA2I6,DM,20130823,31,5.0,59.03225806451613,6,7,-1
A112E6NE5MGEFM,amazone,20090314,22,4.863636363636363,32.59090909090909,6,12,-6
A112XLN4J4TYLR,Mor and Tookie,20080725,21,4.380952380952381,81.9047619047619,26,6,20
A113PB4KMWXB3S,B Richards,20100204,27,4.037037037037037,124.62962962962963,20,8,12
A1143YEAZYMYHJ,Jamie Ratliff,20011227,73,4.383561643835616,154.84931506849315,597,64,533
A114TMHW9GRMPB,PM_SuperFreak,20040913,22,4.363636363636363,169.13636363636363,79,4,75
A114WE1URT580Y,Arturo Fukuda Ll,20050118,21,4.571428571428571,109.23809523809524,202,28,174
A11548ZOIDAELN,S P,20110216,23,4.304347826086956,136.7826086956522,56,85,-29
A1158GPHFBJ70U,Christopher Hutton,20131003,22,4.0,33.45454545454545,5,4,1
A1162YPK0AI4CN,Pat,20110717,26,4.153846153846154,85.76923076923077,20,16,4
A116J8AUC3JSN2,"Harkius ""harkius""",20100604,25,3.32,307.12,64,28,36
A116K49GU3QGW9,"A Guy ""Otis""",20101204,31,3.838709677419355,116.90322580645162,13,3,10
A117LA3RXR4IIC,"Gregory A. ""Greg""",20121219,25,3.96,44.32,4,1,3
A117XUS2KI1M04,"Mike Reingold ""Zombie Prepper""",20120905,25,4.56,79.36,212,38,174
A1186VP35L3PE1,T. Roberts,20100720,21,4.619047619047619,38.95238095238095,1,1,0
A118A49ORGNEUM,D. Barber,20071031,31,4.193548387096774,361.3225806451613,157,31,126
A118V341FMA1EL,MeMoNeer,20121013,21,3.5238095238095237,43.714285714285715,8,22,-14
A11A85Z916SLHK,Robert S. Burazin,20070115,23,4.304347826086956,45.391304347826086,16,3,13
A11D1KHM7DVOQK,"Person ""qazwsx34651""",20041115,56,3.3035714285714284,385.39285714285717,596,107,489
A11ED8O95W2103,"lighten_up_already2 ""lighten_up_already2""",20051218,56,3.9642857142857144,210.25,597,142,455
A11EGM5KO12IQ2,"Harold Melton ""KV5R""",20120508,24,4.208333333333333,222.95833333333334,62,7,55
A11ENPLSWWU4RA,Thomas J. Carter,20080725,21,4.761904761904762,32.142857142857146,13,5,8
A11ERLOY4HCPA4,Big Ron,20060628,27,3.962962962962963,182.44444444444446,66,21,45
A11EXFO14WEJM1,Sudarshan Karkada,20040707,69,4.478260869565218,224.97101449275362,558,111,447
A11EYMH9UV9XG7,greenmantis,20070130,61,4.442622950819672,113.32786885245902,130,26,104
A11F60W72FUBH8,"Henry Halladay ""Slide show creator""",20081018,32,4.75,52.59375,23,6,17
A11F8B8GQURI84,"Michael R. Serovey ""chess nut""",20130802,23,4.391304347826087,68.78260869565217,1,3,-2
