asin,product_rating,price,brand
0528881469,2.4,299.99,
0594451647,4.2,49.95,
0594481813,4.0,19.65,Barnes &amp; Noble
0972683275,4.461187214611872,29.99,VideoSecu
1400501466,3.953488372093023,188.88,
1400501520,4.4,169.99,
1400501776,4.15,89.99,Barnes &amp; Noble
1400532620,3.6097560975609757,74.95,Barnes &amp; Noble
1400532655,3.8073394495412844,113.99,Barnes &amp; Noble
140053271X,3.8309859154929575,79.49,Barnes &amp; Noble
1400532736,3.230769230769231,62.99,Barnes &amp; Noble
1400599997,3.902439024390244,78.71,
1400698987,4.214285714285714,158.99,Barnes &amp; Noble
1400699169,4.5,211.75,Barnes &amp; Noble
1615527613,4.2,12.9,
3744295508,4.947368421052632,2.3,Generic
3930992868,5.0,25.99,Toshiba
3936710058,3.5,35.0,
6301977173,3.0,2.99,
7214047977,4.3076923076923075,7.99,
7507825604,4.833333333333333,3.97,Bargain Cable
7799813393,3.5,30.99,
8862935293,3.6666666666666665,69.0,
8862936826,3.0,92.99,
8918010656,4.428571428571429,408.69,YAMAKASI
9043413585,3.4285714285714284,5.99,
9573212900,4.111111111111111,24.95,Panasonic
9573212919,3.8823529411764706,20.55,Epartsdom
9575871979,4.04,27.99,
9625993428,3.8,1.98,Mycarryingcase
9862510447,3.6666666666666665,5.0,Generic
9876050621,3.2,36.99,SanDisk
9888002198,4.055555555555555,5.39,Mycarryingcase
9966338926,3.0,3.99,A Days Tech
9966541551,4.6,7.99,SanDisk
9966569863,4.714285714285714,14.75,SanDisk
9966694544,4.076923076923077,17.79,Kingston
9981739588,4.428571428571429,2.43,A Days Tech
9983891204,4.764705882352941,7.09,A Days Tech
9983891212,4.7023809523809526,3.98,A Days Tech
9984984354,3.6956521739130435,0.01,Garmin
9984984362,4.4,3.18,Wireless Solutions
998498480X,4.666666666666667,3.77,Wireless Solutions
9985511476,4.631578947368421,6.04,Kingston
B000001OL6,3.7,46.29,Maxell
B000001OM4,4.352941176470588,5.5,Maxell
B000001OM5,3.814814814814815,5.49,Maxell
B000001OMA,3.5833333333333335,8.18,
B000001OMI,4.4,6.79,Maxell
B000001OMT,3.857142857142857,16.5,
B000001OMZ,4.666666666666667,6.35,Maxell
B000001ON6,4.2926829268292686,4.55,Maxell
B000006OQ8,4.6,44.95,
B00000DM9W,4.607843137254902,48.0,
B00000DMA3,4.285714285714286,109.94,
B00000I9HE,4.125,6.94,Maxell
B00000I9HF,4.8,13.95,Maxell
B00000IGBF,4.222222222222222,239.0,
B00000J05A,3.4285714285714284,,
B00000J060,4.0,24.99,
B00000J061,4.535714285714286,41.45,
B00000J08C,4.461538461538462,9.95,Palm
B00000J08Q,2.5,38.99,
B00000J0AR,2.0,27.15,
B00000J0D2,3.0,45.99,Uniden
B00000J0D5,3.0714285714285716,64.99,
B00000J0D8,2.8,69.99,
B00000J0IX,4.0,169.85,
B00000J1E6,2.142857142857143,10.0,Maxell
B00000J1EJ,2.8333333333333335,31.31,Maxell
B00000J1EP,4.538461538461538,15.02,Maxell
B00000J1EQ,4.6571428571428575,13.62,Maxell
B00000J1F3,4.5,11.87,Maxell
B00000J1GA,3.2222222222222223,12.99,
B00000J1QK,4.260869565217392,6.99,Allsop
B00000J1QR,4.266666666666667,6.15,Allsop
B00000J1SC,4.2405063291139244,5.44,BELKIN
B00000J1TX,4.738095238095238,4.0,BELKIN
B00000J1U8,4.619047619047619,4.21,BELKIN
B00000J1UA,4.333333333333333,5.86,BELKIN
B00000J1UB,4.8,5.28,BELKIN
B00000J1UQ,4.804347826086956,4.99,BELKIN
B00000J1UY,5.0,6.01,BELKIN
B00000J1V3,4.612903225806452,10.8,BELKIN
B00000J1V5,4.712643678160919,3.99,BELKIN
B00000J1V7,4.944444444444445,2.25,BELKIN
B00000J1V8,5.0,6.54,BELKIN
B00000J3G3,4.0,37.33,
B00000J3GR,5.0,20.97,Kensington
B00000J3HB,4.6,54.95,
B00000J3II,4.0,109.0,Iomega
B00000J3Q1,4.0,49.99,
B00000J3Q7,4.230769230769231,89.0,
B00000J3SA,4.785714285714286,,
B00000J3UH,4.0,100.03,Targus
B00000J3UJ,3.375,15.0,Targus
B00000J3WQ,3.5555555555555554,30.44,APC
B00000J40X,4.6,79.99,
B00000J434,4.05,,
B00000J47F,3.8,4.58,Energizer
B00000J4CX,4.0,,
B00000J4DV,4.75,22.65,Kensington
B00000J4EY,4.782608695652174,44.15,Kensington
B00000J4FS,4.433333333333334,49.99,
B00000J4GE,4.25,17.69,Memorex
B00000J4L8,4.583333333333333,35.0,Netgear
B00000J4LQ,4.8,,
B00000J4M9,4.5,21.99,
B00000J4VK,4.2,,
B00000J4VL,4.5,11.29,
B00000J506,3.6,35.52,
B00000J579,3.7142857142857144,12.99,
B00000J6WY,3.35,54.99,Bushnell
B00000JBAH,4.428571428571429,,
B00000JBAT,3.7142857142857144,34.99,
B00000JBHE,4.8,,
B00000JBHP,4.076923076923077,9.86,Yamaha
B00000JBIA,1.0,,
B00000JBJQ,3.3333333333333335,39.99,
B00000JBLJ,3.625,12.29,
B00000JBRV,4.4,14.95,
B00000JBUI,4.909090909090909,34.44,
B00000JCT8,3.6923076923076925,12.83,Motorola
B00000JCTO,3.6875,12.83,Motorola
B00000JD34,3.9523809523809526,22.49,Motorola
B00000JD3C,4.0,11.3,Sony
B00000JD3O,4.555555555555555,,
B00000JD4T,2.7777777777777777,13.67,
B00000JD4V,4.1875,131.28,
B00000JDEL,4.6,,
B00000JDF5,4.718120805369128,3.95,BELKIN
B00000JDF6,4.68,13.34,BELKIN
B00000JDF8,4.571428571428571,6.69,BELKIN
B00000JDFI,5.0,10.17,
B00000JDGQ,4.5,,
B00000JDHV,3.769230769230769,13.99,
B00000JDK0,4.0,,
B00000JF4M,2.8,30.99,
B00000JFE3,4.0,33.0,
B00000JFIF,4.888888888888889,11.95,
B00000JFMK,4.75,,
B00000JGN9,3.3333333333333335,9.49,Energizer
B00000JGNB,3.888888888888889,41.96,Energizer
B00000JHVP,4.285714285714286,9.32,
B00000JHWX,4.5,37.99,
B00000JI2C,3.875,18.0,Palm
B00000JI2D,3.6,24.5,Palm
B00000JI38,4.2,,
B00000JI48,3.5454545454545454,14.95,Tiffen
B00000JI4F,4.134146341463414,15.99,Sabrent
B00000JII6,3.0714285714285716,69.99,
B00000JMO4,4.0,9.91,
B00000JMRV,3.8333333333333335,14.99,
B00000JMRX,3.0,131.28,
B00000JPPI,4.0,0.95,Maxell
B00000JSES,3.125,,
B00000JSGF,3.5833333333333335,34.99,
B00000JXV3,4.333333333333333,30.99,
B00000JYLO,4.166666666666667,9.36,
B00000JYWQ,4.071428571428571,7.33,
B00000K135,4.5092592592592595,7.25,Brother
B00000K13A,4.7368421052631575,10.97,Brother
B00000K13I,4.533333333333333,10.95,Brother
B00000K13L,4.725,8.99,Brother
B00000K2YR,4.018518518518518,79.89,Midland
B00000K2YV,2.5,12.35,Midland
B00000K3RI,3.5,32.75,
B00000K3RK,4.166666666666667,9.32,
